Latitude,Longitude,Name,State,Country
14.25,75.0,Sagara taluk,Karnataka,IN
14.0,78.25,Tanakal,Andhra Pradesh,IN
14.25,75.25,Sagara taluk,Karnataka,IN
14.0,78.0,Obuladevaracheruvu,Andhra Pradesh,IN
14.25,74.25,India,,IN
14.25,76.25,Chitradurga,Karnataka,IN
14.0,79.75,Ojili,Andhra Pradesh,IN
14.0,80.0,Chittamur,Andhra Pradesh,IN
14.25,76.0,Channagiri taluku,Karnataka,IN
14.25,75.75,Honnali taluku,Karnataka,IN
14.0,78.5,Galiveedu,Andhra Pradesh,IN
14.25,74.75,Siddapura taluk,Karnataka,IN
14.25,76.5,Chitradurga,Karnataka,IN
14.0,79.25,Obulavaripalle,Andhra Pradesh,IN
14.25,77.0,Kundurpi,Andhra Pradesh,IN
14.5,74.5,Kumata taluk,Karnataka,IN
14.0,79.0,T Sundupalle,Andhra Pradesh,IN
14.0,78.75,Sambepalle,Andhra Pradesh,IN
14.25,74.5,Honnavar taluku,Karnataka,IN
14.25,75.5,Shikaripura taluk,Karnataka,IN
14.0,79.5,Venkatagiri,Andhra Pradesh,IN
14.25,77.25,Pavagada taluk,Karnataka,IN
14.25,76.75,Challakere taluku,Karnataka,IN
14.25,77.5,Chennekothapalle,Andhra Pradesh,IN
14.25,77.75,Kothacheruvu,Andhra Pradesh,IN
14.25,78.0,Bukkapatnam,Andhra Pradesh,IN
14.5,75.5,Rattihalli taluk,Karnataka,IN
14.25,78.25,Talupula,Andhra Pradesh,IN
14.25,78.5,Chakrayapet,Andhra Pradesh,IN
14.25,78.75,Ramapuram,Andhra Pradesh,IN
14.25,79.0,Rajampet,Andhra Pradesh,IN
14.5,76.5,Challakere taluku,Karnataka,IN
14.25,79.25,Penagalur,Andhra Pradesh,IN
14.25,79.75,Sydapuram,Andhra Pradesh,IN
14.25,79.5,Rapur,Andhra Pradesh,IN
14.5,77.5,Raptadu,Andhra Pradesh,IN
14.5,74.25,Uttara Kannada,Karnataka,IN
14.25,80.0,Venkatachalam,Andhra Pradesh,IN
14.5,75.0,Sirsi Taluk,Karnataka,IN
14.5,74.75,Siddapura taluk,Karnataka,IN
14.5,75.25,Shikaripura taluk,Karnataka,IN
14.5,78.5,Veerapunayunipalle,Andhra Pradesh,IN
14.5,79.5,Chejerla,Andhra Pradesh,IN
14.5,75.75,Harihara taluku,Karnataka,IN
14.5,76.0,Davanagere,Karnataka,IN
14.5,76.25,Jagaluru taluku,Karnataka,IN
14.5,77.0,Brahmasamudram,Andhra Pradesh,IN
14.5,77.25,Kambadur,Andhra Pradesh,IN
14.5,76.75,Challakere taluku,Karnataka,IN
14.5,78.0,Lingala,Andhra Pradesh,IN
14.5,78.25,Thonduru,Andhra Pradesh,IN
14.5,77.75,Bathalapalle,Andhra Pradesh,IN
14.5,78.75,Chinthakommadinne,Andhra Pradesh,IN
14.5,79.0,Sidhout,Andhra Pradesh,IN
14.5,79.75,Podalakur,Andhra Pradesh,IN
14.75,77.75,Narpala,Andhra Pradesh,IN
14.75,74.5,Ankola taluk,Karnataka,IN
14.5,79.25,Gopavaram,Andhra Pradesh,IN
14.75,74.25,Karwar taluk,Karnataka,IN
14.75,75.0,Mundagoda taluk,Karnataka,IN
14.5,80.0,Kovur,Andhra Pradesh,IN
14.75,75.5,Byadagi taluk,Karnataka,IN
14.75,75.75,Huvina Hadagali taluk,Karnataka,IN
14.75,78.25,Muddanur,Andhra Pradesh,IN
14.75,76.25,Kotturu taluku,Karnataka,IN
14.75,74.75,Sirsi,Karnataka,IN
14.75,77.0,Kanekal,Andhra Pradesh,IN
14.75,76.75,Molakalmuru taluku,Karnataka,IN
14.75,77.5,Kudair,Andhra Pradesh,IN
14.75,77.25,Uravakonda,Andhra Pradesh,IN
14.75,76.5,Kudligi taluku,Karnataka,IN
14.75,78.0,Putlur,Andhra Pradesh,IN
14.75,76.0,Harapanahalli taluku,Karnataka,IN
14.75,75.25,Hanagal taluk,Karnataka,IN
14.75,78.75,S.Mydukur,Andhra Pradesh,IN
14.75,78.5,Yerraguntla,Andhra Pradesh,IN
14.75,79.0,Brahmamgarimattam,Andhra Pradesh,IN
14.75,79.25,Marripadu,Andhra Pradesh,IN
14.75,79.5,Atmakur,Andhra Pradesh,IN
14.75,80.0,Bogole,Andhra Pradesh,IN
14.75,79.75,Kaligiri,Andhra Pradesh,IN
15.0,74.0,Uttara Kannada,Karnataka,IN
15.0,74.25,Canacona,Goa,IN
15.0,74.5,Supa taluk,Karnataka,IN
15.0,74.75,Yallapura taluk,Karnataka,IN
15.0,75.0,Mundagoda taluk,Karnataka,IN
15.0,75.25,Shiggaon taluk,Karnataka,IN
15.0,75.75,Shirahatti taluku,Karnataka,IN
15.0,75.5,Savanura taluk,Karnataka,IN
15.0,76.0,Huvina Hadagali taluk,Karnataka,IN
15.0,76.5,Sanduru taluk,Karnataka,IN
15.0,76.25,Hagari Bommanahalli taluk,Karnataka,IN
15.0,76.75,Sanduru taluk,Karnataka,IN
15.0,77.25,Uravakonda,Andhra Pradesh,IN
15.0,78.0,Tadipatri,Andhra Pradesh,IN
15.0,77.0,Bommanahal,Andhra Pradesh,IN
15.0,77.75,Peddavadugur,Andhra Pradesh,IN
15.0,77.5,Pamidi,Andhra Pradesh,IN
15.0,78.25,Mylavaram,Andhra Pradesh,IN
15.0,78.5,Peddamudium,Andhra Pradesh,IN
15.0,79.0,Porumamilla,Andhra Pradesh,IN
15.0,78.75,S.Mydukur,Andhra Pradesh,IN
15.5,74.5,Khanapura taluku,Karnataka,IN
15.0,79.25,Udayagiri,Andhra Pradesh,IN
15.0,79.5,Varikuntapadu,Andhra Pradesh,IN
